"rank","cluster","symbols","frontend_total","backend_total","cohesion","dominance"
266,"Cluster_3511",10,10,0,69.23,"frontend"
267,"Cluster_3529",10,10,0,81.25,"frontend"
268,"Seating",10,0,10,88.24,"backend"
269,"Upsell",10,0,10,67.47,"backend"
270,"Sms",10,0,10,100,"backend"
271,"Cluster_3581",10,10,0,75,"frontend"
272,"Web",10,0,10,100,"backend"
273,"LegalEntity",10,0,10,100,"backend"
274,"Chariot",10,0,10,96,"backend"
275,"Track",10,0,10,94.62,"backend"
276,"Snippet",9,9,0,78.5,"frontend"
277,"Nav-menu",9,6,0,50,"frontend"
278,"DomainRecord",9,0,9,80,"backend"
279,"Mixins",9,0,0,80.56,"unmapped"
280,"Post",9,0,9,100,"backend"
281,"Graph",9,0,9,100,"backend"
282,"HubSpot",9,0,9,80,"backend"
283,"Processing",9,0,9,78.26,"backend"
284,"Campaign-tools",9,8,1,80,"frontend"
285,"Pie",9,0,9,94.12,"backend"
286,"Interfaces",9,0,9,100,"backend"
287,"Color-picker",9,0,0,82.72,"unmapped"
288,"TrustedDevices",9,0,9,100,"backend"
289,"Cluster_3512",9,9,0,85.71,"frontend"
290,"PaymentPlans",9,0,9,92.06,"backend"
291,"Auction-categories",8,6,2,100,"frontend"
292,"Get",8,5,3,79.17,"frontend"
293,"Cards",8,8,0,81.25,"frontend"
294,"MMKVMigration",8,8,0,100,"frontend"
295,"Date-picker",8,0,0,92.86,"unmapped"
296,"Telemetry",8,0,0,100,"unmapped"
297,"Cluster_3807",8,0,0,87.5,"unmapped"
298,"Stores",8,0,0,93.33,"unmapped"
299,"Export-dialog",8,8,0,63.64,"frontend"
300,"Sources",8,0,8,100,"backend"
301,"Cluster_3525",8,8,0,83.33,"frontend"
302,"IDs",8,0,8,100,"backend"
303,"Tags",8,2,6,58.33,"backend"
304,"Nodeviews",7,0,0,92.06,"unmapped"
305,"Devtools",7,7,0,100,"frontend"
306,"Primitives",7,7,0,91.84,"frontend"
307,"TypeTransitions",7,0,7,100,"backend"
308,"Format",7,0,7,80,"backend"
309,"CampaignStaff",7,7,0,80.95,"frontend"
310,"Initiators",7,0,7,91.84,"backend"
311,"Cluster_477",7,0,7,70,"backend"
312,"CustomFields",7,0,7,92.31,"backend"
313,"Page-loading",7,7,0,100,"frontend"
314,"Phone",7,0,7,100,"backend"
315,"RequireUniqueForRule",7,0,7,100,"backend"
316,"Funds",7,3,4,70.59,"backend"
317,"Transform",7,7,0,87.5,"frontend"
318,"React-shared",7,0,7,100,"backend"
319,"Migrate",7,0,0,58.33,"unmapped"
320,"Controller",7,2,5,82.35,"backend"
321,"AWS",7,0,7,100,"backend"
322,"QRCode",7,0,7,63.16,"backend"
323,"BidderDetail",7,7,0,66.67,"frontend"
324,"Donorsearch",7,0,7,60,"backend"
325,"Assets",6,2,4,100,"backend"
326,"Util",6,6,0,66.67,"frontend"
327,"Video-preview",6,6,0,100,"frontend"
328,"AuctionItem",6,6,0,62.5,"frontend"
329,"TicketSales",6,6,0,80,"frontend"
330,"Cluster_3856",6,0,0,100,"unmapped"
331,"Servers",6,0,6,100,"backend"
332,"EnumUtils",6,0,6,100,"backend"
333,"Browser",6,0,6,100,"backend"
334,"Sortable",6,0,0,100,"unmapped"
335,"Alert-notification",6,0,0,100,"unmapped"
336,"Cluster_470",6,0,6,100,"backend"
337,"PHPStan",6,0,6,100,"backend"
338,"TicketListItem",6,6,0,100,"frontend"
339,"Parsers",6,0,6,86.67,"backend"
340,"PHPUnit",6,0,6,100,"backend"
341,"Recommended-actions",6,6,0,71.43,"frontend"
342,"Bidders-index",6,6,0,90.91,"frontend"
343,"TwoFactorAuth",6,6,0,52.63,"frontend"
344,"EditStaffMember",6,6,0,62.5,"frontend"
345,"Text",6,0,6,100,"backend"
346,"Cluster_3528",6,6,0,83.33,"frontend"
347,"Queue",6,0,6,100,"backend"
348,"Household",6,0,6,61.9,"backend"
349,"Hocs",6,0,0,100,"unmapped"
350,"Subscription",6,6,0,100,"frontend"
351,"Permissions",6,3,3,100,"balanced"
352,"Database",6,0,6,75,"backend"
353,"Create-campaign-dialog",5,5,0,57.14,"frontend"
354,"Imported-recurring-plans",5,5,0,47.06,"frontend"
355,"Schools",5,2,3,90.91,"backend"
356,"Repair",5,0,5,100,"backend"
357,"Cluster_480",5,0,5,71.43,"backend"
358,"CampaignSupported",5,0,5,80,"backend"
359,"ConnectM2Reader",5,5,0,61.54,"frontend"
360,"Cluster_1006",5,0,5,92.31,"backend"
361,"CI",5,0,5,88.89,"backend"
362,"Tips-and-fees",5,5,0,88.89,"frontend"
363,"Mailables",5,0,5,80,"backend"
364,"Cluster_3527",5,5,0,80,"frontend"
365,"App",5,5,0,47.06,"frontend"
366,"Cluster_3860",5,0,0,100,"unmapped"
367,"Sorting",5,0,5,100,"backend"
368,"Feed",5,0,5,72.73,"backend"
369,"Dialog-route",5,5,0,100,"frontend"
370,"ChooseSupporter",5,5,0,75,"frontend"
371,"DemoTools",5,0,5,90.91,"backend"
372,"Declare-winner",5,5,0,50,"frontend"
373,"NumberIncrementer",4,4,0,85.71,"frontend"
374,"Campaign-details",4,4,0,75,"frontend"
375,"PHPCSFixer",4,0,4,100,"backend"
376,"ScheduleClassUsageRule",4,0,4,100,"backend"
377,"Results",4,0,4,46.15,"backend"
378,"Communication",4,0,4,100,"backend"
379,"Campaign-settings",4,4,0,66.67,"frontend"
380,"Context",4,0,4,66.67,"backend"
381,"Campaign-team",4,4,0,100,"frontend"
382,"NavigationHeader",4,4,0,100,"frontend"
383,"Engage-email",4,4,0,100,"frontend"
384,"Observers",4,0,4,60,"backend"
385,"User",4,0,4,75,"backend"
386,"Fraud",4,0,4,100,"backend"
387,"Activities",4,0,4,85.71,"backend"
388,"Recurring-payments",4,4,0,85.71,"frontend"
389,"Toast",4,0,0,100,"unmapped"
390,"Resolver",4,0,4,100,"backend"
391,"CommandHandleReturnRule",4,0,4,100,"backend"
392,"Cluster_3510",4,4,0,85.71,"frontend"
393,"Cluster_3806",4,0,0,75,"unmapped"
394,"Exporting",4,0,4,60,"backend"
395,"DomainSettings",4,4,0,100,"frontend"
396,"Dropdown-menu",4,0,0,100,"unmapped"
397,"Examples",4,0,4,66.67,"backend"
398,"Cluster_3531",4,4,0,85.71,"frontend"
399,"Slider",4,0,0,100,"unmapped"
400,"AuctionItemList",4,4,0,100,"frontend"
401,"Cluster_3533",4,4,0,85.71,"frontend"
402,"Address",4,0,4,66.67,"backend"
403,"Cluster_3524",4,4,0,85.71,"frontend"
404,"ConfirmActionModal",4,4,0,85.71,"frontend"
405,"Cluster_3808",4,0,0,66.67,"unmapped"
406,"Candid",4,0,4,66.67,"backend"
407,"ImportHandlers",4,0,4,66.67,"backend"
408,"MediaLibrary",4,0,4,100,"backend"
409,"Sponsor",4,0,4,100,"backend"
410,"Dialog",3,3,0,100,"frontend"
411,"Cluster_656",3,0,3,100,"backend"
412,"Cluster_3530",3,3,0,100,"frontend"
413,"Canva",3,0,3,100,"backend"
414,"Manual",3,3,0,100,"frontend"
415,"AcceptedPaymentMethods",3,0,3,100,"backend"
416,"Cluster_472",3,0,3,100,"backend"
417,"Unstyled-link",3,0,0,100,"unmapped"
418,"Meter",3,0,0,100,"unmapped"
419,"Cluster_1666",3,0,3,100,"backend"
420,"Backend",3,0,3,100,"backend"
421,"AuctionItems",3,0,3,100,"backend"
422,"Fixtures",3,0,3,100,"backend"
423,"Givebutter",3,3,0,100,"frontend"
424,"Profile",3,0,3,100,"backend"
425,"DataEnrichment",3,0,3,100,"backend"
426,"Values",3,0,3,100,"backend"
427,"Connection-status",2,0,0,100,"unmapped"
428,"Public",2,0,2,100,"backend"
429,"Thankview",2,0,2,100,"backend"
430,"PushNotifications",2,0,2,100,"backend"
431,"Bulk-actions",2,2,0,100,"frontend"
432,"Libs",2,0,2,100,"backend"
433,"Paginated",2,2,0,100,"frontend"
434,"System-info",2,0,0,100,"unmapped"
435,"M2Reader",2,2,0,100,"frontend"
436,"Skeleton",2,0,0,100,"unmapped"
437,"MustExtendFactoryBaseRule",2,0,2,100,"backend"
438,"Auction-bidders",2,2,0,100,"frontend"
439,"EloquentBuilders",2,0,2,100,"backend"
440,"Cluster_2906",2,0,2,100,"backend"
441,"Log-viewer",2,0,0,100,"unmapped"
442,"Cluster_473",2,0,2,100,"backend"
443,"Preview",2,0,2,100,"backend"
444,"Tips-ui",2,0,2,100,"backend"
445,"ValueObjects",2,0,2,100,"backend"
446,"Trace",2,0,0,100,"unmapped"
447,"NumberTicker",2,2,0,100,"frontend"
448,"Cluster_3803",2,0,0,100,"unmapped"
449,"DonationStats",2,0,2,100,"backend"
450,"Banner",2,0,0,100,"unmapped"
451,"E2e",2,2,0,100,"frontend"
452,"Email-preview",2,0,0,100,"unmapped"
453,"Eloquent",2,0,2,100,"backend"
454,"Cluster_3526",2,2,0,100,"frontend"
455,"Two-factor",2,2,0,100,"frontend"
456,"Pdf-preview",2,0,0,100,"unmapped"
457,"PayPal",2,0,2,100,"backend"
458,"IPQualityScore",2,0,2,100,"backend"
459,"Content",2,2,0,100,"frontend"
460,"Cluster_3640",2,2,0,100,"frontend"
461,"Input",2,2,0,100,"frontend"
462,"Welcome",2,2,0,100,"frontend"
463,"Bids",2,0,2,100,"backend"
464,"Clients",2,0,2,100,"backend"
465,"Connectors",2,0,2,100,"backend"
466,"Maintenance",2,0,2,100,"backend"
467,"Cluster_471",2,0,2,100,"backend"
